Level,year,re288_state,base_state,Outs,Balls,Strikes,n_obs,run_expectancy
Cali Collegiate,2026,111|2|1-2,111,2,1,2,23,0.391304347826087
Cali Collegiate,2026,111|2|2-0,111,2,2,0,13,0.8461538461538461
Cali Collegiate,2026,111|2|2-1,111,2,2,1,17,1.0588235294117647
Cali Collegiate,2026,111|2|2-2,111,2,2,2,21,0.5714285714285714
Cali Collegiate,2026,111|2|3-0,111,2,3,0,4,2.25
Cali Collegiate,2026,111|2|3-1,111,2,3,1,7,1.2857142857142858
Cali Collegiate,2026,111|2|3-2,111,2,3,2,10,0.7
Cape Cod Baseball League,2025,000|0|0-0,000,0,0,0,3656,0.5341903719912473
Cape Cod Baseball League,2025,000|0|0-1,000,0,0,1,1742,0.4718714121699196
Cape Cod Baseball League,2025,000|0|0-2,000,0,0,2,875,0.44114285714285717
Cape Cod Baseball League,2025,000|0|1-0,000,0,1,0,1449,0.5852311939268461
Cape Cod Baseball League,2025,000|0|1-1,000,0,1,1,1401,0.49750178443968596
Cape Cod Baseball League,2025,000|0|1-2,000,0,1,2,1296,0.43364197530864196
Cape Cod Baseball League,2025,000|0|2-0,000,0,2,0,514,0.6303501945525292
Cape Cod Baseball League,2025,000|0|2-1,000,0,2,1,729,0.5349794238683128
Cape Cod Baseball League,2025,000|0|2-2,000,0,2,2,1077,0.4809656453110492
Cape Cod Baseball League,2025,000|0|3-0,000,0,3,0,197,0.883248730964467
Cape Cod Baseball League,2025,000|0|3-1,000,0,3,1,374,0.7112299465240641
Cape Cod Baseball League,2025,000|0|3-2,000,0,3,2,727,0.5226960110041265
Cape Cod Baseball League,2025,000|1|0-0,000,1,0,0,2455,0.27494908350305497
Cape Cod Baseball League,2025,000|1|0-1,000,1,0,1,1162,0.23666092943201378
Cape Cod Baseball League,2025,000|1|0-2,000,1,0,2,601,0.20133111480865223
Cape Cod Baseball League,2025,000|1|1-0,000,1,1,0,1036,0.31177606177606176
Cape Cod Baseball League,2025,000|1|1-1,000,1,1,1,977,0.24257932446264074
Cape Cod Baseball League,2025,000|1|1-2,000,1,1,2,901,0.24639289678135406
Cape Cod Baseball League,2025,000|1|2-0,000,1,2,0,375,0.37866666666666665
Cape Cod Baseball League,2025,000|1|2-1,000,1,2,1,560,0.31785714285714284
Cape Cod Baseball League,2025,000|1|2-2,000,1,2,2,778,0.2519280205655527
Cape Cod Baseball League,2025,000|1|3-0,000,1,3,0,129,0.35658914728682173
Cape Cod Baseball League,2025,000|1|3-1,000,1,3,1,263,0.3688212927756654
Cape Cod Baseball League,2025,000|1|3-2,000,1,3,2,523,0.367112810707457
Cape Cod Baseball League,2025,000|2|0-0,000,2,0,0,1827,0.1111111111111111
Cape Cod Baseball League,2025,000|2|0-1,000,2,0,1,881,0.09080590238365494
Cape Cod Baseball League,2025,000|2|0-2,000,2,0,2,404,0.0594059405940594
Cape Cod Baseball League,2025,000|2|1-0,000,2,1,0,748,0.13636363636363635
Cape Cod Baseball League,2025,000|2|1-1,000,2,1,1,753,0.09827357237715803
Cape Cod Baseball League,2025,000|2|1-2,000,2,1,2,663,0.08597285067873303
Cape Cod Baseball League,2025,000|2|2-0,000,2,2,0,283,0.17314487632508835
Cape Cod Baseball League,2025,000|2|2-1,000,2,2,1,440,0.09772727272727273
Cape Cod Baseball League,2025,000|2|2-2,000,2,2,2,569,0.10369068541300527
Cape Cod Baseball League,2025,000|2|3-0,000,2,3,0,92,0.2717391304347826
Cape Cod Baseball League,2025,000|2|3-1,000,2,3,1,181,0.16022099447513813
Cape Cod Baseball League,2025,000|2|3-2,000,2,3,2,359,0.13370473537604458
Cape Cod Baseball League,2025,001|0|0-0,001,0,0,0,22,1.5
Cape Cod Baseball League,2025,001|0|0-1,001,0,0,1,13,1.3076923076923077
Cape Cod Baseball League,2025,001|0|0-2,001,0,0,2,3,1.0
Cape Cod Baseball League,2025,001|0|1-0,001,0,1,0,7,1.5714285714285714
Cape Cod Baseball League,2025,001|0|1-1,001,0,1,1,11,1.1818181818181819
Cape Cod Baseball League,2025,001|0|1-2,001,0,1,2,6,1.1666666666666667
Cape Cod Baseball League,2025,001|0|2-0,001,0,2,0,1,2.0
Cape Cod Baseball League,2025,001|0|2-1,001,0,2,1,6,1.3333333333333333
Cape Cod Baseball League,2025,001|0|2-2,001,0,2,2,8,1.375
Cape Cod Baseball League,2025,001|0|3-0,001,0,3,0,2,2.0
Cape Cod Baseball League,2025,001|0|3-1,001,0,3,1,1,1.0
Cape Cod Baseball League,2025,001|0|3-2,001,0,3,2,2,1.5
Cape Cod Baseball League,2025,001|1|0-0,001,1,0,0,30,1.0666666666666667
Cape Cod Baseball League,2025,001|1|0-1,001,1,0,1,12,1.1666666666666667
Cape Cod Baseball League,2025,001|1|0-2,001,1,0,2,7,0.7142857142857143
Cape Cod Baseball League,2025,001|1|1-0,001,1,1,0,16,0.75
Cape Cod Baseball League,2025,001|1|1-1,001,1,1,1,15,1.2
Cape Cod Baseball League,2025,001|1|1-2,001,1,1,2,10,0.6
Cape Cod Baseball League,2025,001|1|2-0,001,1,2,0,9,0.8888888888888888
Cape Cod Baseball League,2025,001|1|2-1,001,1,2,1,15,1.0666666666666667
Cape Cod Baseball League,2025,001|1|2-2,001,1,2,2,12,0.5
Cape Cod Baseball League,2025,001|1|3-0,001,1,3,0,2,2.0
Cape Cod Baseball League,2025,001|1|3-1,001,1,3,1,6,2.5
Cape Cod Baseball League,2025,001|1|3-2,001,1,3,2,9,1.4444444444444444
Cape Cod Baseball League,2025,001|2|0-0,001,2,0,0,47,0.3829787234042553
Cape Cod Baseball League,2025,001|2|0-1,001,2,0,1,22,0.3181818181818182
Cape Cod Baseball League,2025,001|2|0-2,001,2,0,2,18,0.2777777777777778
Cape Cod Baseball League,2025,001|2|1-0,001,2,1,0,28,0.32142857142857145
Cape Cod Baseball League,2025,001|2|1-1,001,2,1,1,20,0.3
Cape Cod Baseball League,2025,001|2|1-2,001,2,1,2,26,0.23076923076923078
Cape Cod Baseball League,2025,001|2|2-0,001,2,2,0,14,0.42857142857142855
Cape Cod Baseball League,2025,001|2|2-1,001,2,2,1,19,0.3684210526315789
Cape Cod Baseball League,2025,001|2|2-2,001,2,2,2,35,0.4
Cape Cod Baseball League,2025,001|2|3-0,001,2,3,0,6,0.6666666666666666
Cape Cod Baseball League,2025,001|2|3-1,001,2,3,1,10,0.1
Cape Cod Baseball League,2025,001|2|3-2,001,2,3,2,22,0.13636363636363635
Cape Cod Baseball League,2025,010|0|0-0,010,0,0,0,164,1.2804878048780488
Cape Cod Baseball League,2025,010|0|0-1,010,0,0,1,72,1.1666666666666667
Cape Cod Baseball League,2025,010|0|0-2,010,0,0,2,37,1.027027027027027
Cape Cod Baseball League,2025,010|0|1-0,010,0,1,0,91,1.3846153846153846
Cape Cod Baseball League,2025,010|0|1-1,010,0,1,1,89,1.0786516853932584
Cape Cod Baseball League,2025,010|0|1-2,010,0,1,2,79,0.8607594936708861
Cape Cod Baseball League,2025,010|0|2-0,010,0,2,0,45,1.3111111111111111
Cape Cod Baseball League,2025,010|0|2-1,010,0,2,1,65,1.323076923076923
Cape Cod Baseball League,2025,010|0|2-2,010,0,2,2,87,1.1724137931034482
Cape Cod Baseball League,2025,010|0|3-0,010,0,3,0,18,1.5555555555555556
Cape Cod Baseball League,2025,010|0|3-1,010,0,3,1,42,1.3095238095238095
Cape Cod Baseball League,2025,010|0|3-2,010,0,3,2,51,1.2352941176470589
Cape Cod Baseball League,2025,010|1|0-0,010,1,0,0,306,0.7516339869281046
Cape Cod Baseball League,2025,010|1|0-1,010,1,0,1,140,0.75
Cape Cod Baseball League,2025,010|1|0-2,010,1,0,2,95,0.6736842105263158
Cape Cod Baseball League,2025,010|1|1-0,010,1,1,0,168,0.875
Cape Cod Baseball League,2025,010|1|1-1,010,1,1,1,146,0.773972602739726
Cape Cod Baseball League,2025,010|1|1-2,010,1,1,2,132,0.5984848484848485
Cape Cod Baseball League,2025,010|1|2-0,010,1,2,0,83,0.8433734939759037
Cape Cod Baseball League,2025,010|1|2-1,010,1,2,1,111,0.7477477477477478
Cape Cod Baseball League,2025,010|1|2-2,010,1,2,2,132,0.5681818181818182
Cape Cod Baseball League,2025,010|1|3-0,010,1,3,0,26,1.0769230769230769
Cape Cod Baseball League,2025,010|1|3-1,010,1,3,1,52,0.8653846153846154
Cape Cod Baseball League,2025,010|1|3-2,010,1,3,2,90,0.6333333333333333
Cape Cod Baseball League,2025,010|2|0-0,010,2,0,0,400,0.3375
Cape Cod Baseball League,2025,010|2|0-1,010,2,0,1,205,0.3170731707317073
Cape Cod Baseball League,2025,010|2|0-2,010,2,0,2,108,0.14814814814814814
Cape Cod Baseball League,2025,010|2|1-0,010,2,1,0,209,0.3062200956937799
Cape Cod Baseball League,2025,010|2|1-1,010,2,1,1,203,0.37438423645320196
Cape Cod Baseball League,2025,010|2|1-2,010,2,1,2,167,0.2934131736526946
Cape Cod Baseball League,2025,010|2|2-0,010,2,2,0,93,0.34408602150537637
Cape Cod Baseball League,2025,010|2|2-1,010,2,2,1,126,0.35714285714285715
Cape Cod Baseball League,2025,010|2|2-2,010,2,2,2,163,0.31901840490797545
Cape Cod Baseball League,2025,010|2|3-0,010,2,3,0,34,0.3235294117647059
Cape Cod Baseball League,2025,010|2|3-1,010,2,3,1,62,0.3709677419354839
Cape Cod Baseball League,2025,010|2|3-2,010,2,3,2,110,0.4909090909090909
Cape Cod Baseball League,2025,011|0|0-0,011,0,0,0,44,2.5
Cape Cod Baseball League,2025,011|0|0-1,011,0,0,1,18,2.3333333333333335
Cape Cod Baseball League,2025,011|0|0-2,011,0,0,2,11,3.272727272727273
Cape Cod Baseball League,2025,011|0|1-0,011,0,1,0,19,2.473684210526316
Cape Cod Baseball League,2025,011|0|1-1,011,0,1,1,17,2.176470588235294
Cape Cod Baseball League,2025,011|0|1-2,011,0,1,2,12,1.3333333333333333
Cape Cod Baseball League,2025,011|0|2-0,011,0,2,0,6,2.3333333333333335
Cape Cod Baseball League,2025,011|0|2-1,011,0,2,1,15,2.6666666666666665
Cape Cod Baseball League,2025,011|0|2-2,011,0,2,2,18,1.8888888888888888
Cape Cod Baseball League,2025,011|0|3-0,011,0,3,0,1,2.0
Cape Cod Baseball League,2025,011|0|3-1,011,0,3,1,6,2.6666666666666665
Cape Cod Baseball League,2025,011|0|3-2,011,0,3,2,10,2.6
Cape Cod Baseball League,2025,011|1|0-0,011,1,0,0,111,1.2792792792792793
Cape Cod Baseball League,2025,011|1|0-1,011,1,0,1,33,0.8484848484848485
Cape Cod Baseball League,2025,011|1|0-2,011,1,0,2,19,0.5263157894736842
Cape Cod Baseball League,2025,011|1|1-0,011,1,1,0,52,1.6538461538461537
Cape Cod Baseball League,2025,011|1|1-1,011,1,1,1,33,1.3636363636363635
Cape Cod Baseball League,2025,011|1|1-2,011,1,1,2,39,1.5384615384615385
Cape Cod Baseball League,2025,011|1|2-0,011,1,2,0,16,2.0625
Cape Cod Baseball League,2025,011|1|2-1,011,1,2,1,14,1.2857142857142858
Cape Cod Baseball League,2025,011|1|2-2,011,1,2,2,30,1.5666666666666667
Cape Cod Baseball League,2025,011|1|3-0,011,1,3,0,7,2.4285714285714284
Cape Cod Baseball League,2025,011|1|3-1,011,1,3,1,5,3.4
Cape Cod Baseball League,2025,011|1|3-2,011,1,3,2,16,2.125
Cape Cod Baseball League,2025,011|2|0-0,011,2,0,0,124,0.5403225806451613
Cape Cod Baseball League,2025,011|2|0-1,011,2,0,1,55,0.43636363636363634
Cape Cod Baseball League,2025,011|2|0-2,011,2,0,2,19,0.3157894736842105
Cape Cod Baseball League,2025,011|2|1-0,011,2,1,0,51,0.49019607843137253
Cape Cod Baseball League,2025,011|2|1-1,011,2,1,1,51,0.37254901960784315
Cape Cod Baseball League,2025,011|2|1-2,011,2,1,2,38,0.34210526315789475
Cape Cod Baseball League,2025,011|2|2-0,011,2,2,0,22,0.7272727272727273
Cape Cod Baseball League,2025,011|2|2-1,011,2,2,1,28,0.5357142857142857
Cape Cod Baseball League,2025,011|2|2-2,011,2,2,2,36,0.3055555555555556
Cape Cod Baseball League,2025,011|2|3-0,011,2,3,0,5,0.8
Cape Cod Baseball League,2025,011|2|3-1,011,2,3,1,12,0.25
Cape Cod Baseball League,2025,011|2|3-2,011,2,3,2,17,0.17647058823529413
Cape Cod Baseball League,2025,100|0|0-0,100,0,0,0,1115,0.947085201793722
Cape Cod Baseball League,2025,100|0|0-1,100,0,0,1,473,0.8414376321353065
Cape Cod Baseball League,2025,100|0|0-2,100,0,0,2,239,0.5732217573221757
Cape Cod Baseball League,2025,100|0|1-0,100,0,1,0,458,1.0873362445414847
Cape Cod Baseball League,2025,100|0|1-1,100,0,1,1,389,1.038560411311054
Cape Cod Baseball League,2025,100|0|1-2,100,0,1,2,332,0.8674698795180723
Cape Cod Baseball League,2025,100|0|2-0,100,0,2,0,158,1.3037974683544304
Cape Cod Baseball League,2025,100|0|2-1,100,0,2,1,207,1.1545893719806763
Cape Cod Baseball League,2025,100|0|2-2,100,0,2,2,293,0.9795221843003413
Cape Cod Baseball League,2025,100|0|3-0,100,0,3,0,59,1.5932203389830508
Cape Cod Baseball League,2025,100|0|3-1,100,0,3,1,94,1.4574468085106382
Cape Cod Baseball League,2025,100|0|3-2,100,0,3,2,184,1.2119565217391304
Cape Cod Baseball League,2025,100|1|0-0,100,1,0,0,1368,0.5526315789473685
Cape Cod Baseball League,2025,100|1|0-1,100,1,0,1,602,0.4584717607973422
Cape Cod Baseball League,2025,100|1|0-2,100,1,0,2,287,0.33797909407665505
Cape Cod Baseball League,2025,100|1|1-0,100,1,1,0,571,0.5919439579684763
Cape Cod Baseball League,2025,100|1|1-1,100,1,1,1,481,0.5072765072765073
Cape Cod Baseball League,2025,100|1|1-2,100,1,1,2,380,0.3605263157894737
Cape Cod Baseball League,2025,100|1|2-0,100,1,2,0,195,0.6923076923076923
Cape Cod Baseball League,2025,100|1|2-1,100,1,2,1,243,0.654320987654321
Cape Cod Baseball League,2025,100|1|2-2,100,1,2,2,313,0.5015974440894568
Cape Cod Baseball League,2025,100|1|3-0,100,1,3,0,71,0.8732394366197183
Cape Cod Baseball League,2025,100|1|3-1,100,1,3,1,117,0.6752136752136753
Cape Cod Baseball League,2025,100|1|3-2,100,1,3,2,208,0.7451923076923077
Cape Cod Baseball League,2025,100|2|0-0,100,2,0,0,1398,0.24391988555078684
Cape Cod Baseball League,2025,100|2|0-1,100,2,0,1,589,0.21052631578947367
Cape Cod Baseball League,2025,100|2|0-2,100,2,0,2,304,0.19078947368421054
Cape Cod Baseball League,2025,100|2|1-0,100,2,1,0,564,0.29432624113475175
Cape Cod Baseball League,2025,100|2|1-1,100,2,1,1,476,0.25630252100840334
Cape Cod Baseball League,2025,100|2|1-2,100,2,1,2,411,0.22627737226277372
Cape Cod Baseball League,2025,100|2|2-0,100,2,2,0,207,0.2753623188405797
Cape Cod Baseball League,2025,100|2|2-1,100,2,2,1,258,0.2364341085271318
Cape Cod Baseball League,2025,100|2|2-2,100,2,2,2,330,0.24848484848484848
Cape Cod Baseball League,2025,100|2|3-0,100,2,3,0,72,0.4027777777777778
Cape Cod Baseball League,2025,100|2|3-1,100,2,3,1,126,0.3333333333333333
Cape Cod Baseball League,2025,100|2|3-2,100,2,3,2,222,0.3063063063063063
Cape Cod Baseball League,2025,101|0|0-0,101,0,0,0,26,1.4230769230769231
Cape Cod Baseball League,2025,101|0|0-1,101,0,0,1,20,1.1
Cape Cod Baseball League,2025,101|0|0-2,101,0,0,2,10,1.3
Cape Cod Baseball League,2025,101|0|1-0,101,0,1,0,12,2.1666666666666665
Cape Cod Baseball League,2025,101|0|1-1,101,0,1,1,18,1.4444444444444444
Cape Cod Baseball League,2025,101|0|1-2,101,0,1,2,21,1.3333333333333333
Cape Cod Baseball League,2025,101|0|2-0,101,0,2,0,7,3.0
Cape Cod Baseball League,2025,101|0|2-1,101,0,2,1,11,2.5454545454545454
Cape Cod Baseball League,2025,101|0|2-2,101,0,2,2,14,1.6428571428571428
Cape Cod Baseball League,2025,101|0|3-0,101,0,3,0,4,2.75
Cape Cod Baseball League,2025,101|0|3-1,101,0,3,1,6,2.5
Cape Cod Baseball League,2025,101|0|3-2,101,0,3,2,8,2.0
Cape Cod Baseball League,2025,101|1|0-0,101,1,0,0,79,1.2531645569620253
Cape Cod Baseball League,2025,101|1|0-1,101,1,0,1,36,1.2222222222222223
Cape Cod Baseball League,2025,101|1|0-2,101,1,0,2,19,1.6842105263157894
Cape Cod Baseball League,2025,101|1|1-0,101,1,1,0,42,1.0476190476190477
Cape Cod Baseball League,2025,101|1|1-1,101,1,1,1,43,0.8604651162790697
Cape Cod Baseball League,2025,101|1|1-2,101,1,1,2,48,1.25
Cape Cod Baseball League,2025,101|1|2-0,101,1,2,0,18,1.2777777777777777
Cape Cod Baseball League,2025,101|1|2-1,101,1,2,1,23,0.9130434782608695
Cape Cod Baseball League,2025,101|1|2-2,101,1,2,2,44,0.7272727272727273
Cape Cod Baseball League,2025,101|1|3-0,101,1,3,0,5,1.6
Cape Cod Baseball League,2025,101|1|3-1,101,1,3,1,10,1.7
Cape Cod Baseball League,2025,101|1|3-2,101,1,3,2,24,0.7083333333333334
Cape Cod Baseball League,2025,101|2|0-0,101,2,0,0,91,0.4835164835164835
Cape Cod Baseball League,2025,101|2|0-1,101,2,0,1,46,0.5652173913043478
Cape Cod Baseball League,2025,101|2|0-2,101,2,0,2,26,0.4230769230769231
Cape Cod Baseball League,2025,101|2|1-0,101,2,1,0,34,0.23529411764705882
Cape Cod Baseball League,2025,101|2|1-1,101,2,1,1,37,0.24324324324324326
Cape Cod Baseball League,2025,101|2|1-2,101,2,1,2,51,0.3333333333333333
Cape Cod Baseball League,2025,101|2|2-0,101,2,2,0,12,0.5
Cape Cod Baseball League,2025,101|2|2-1,101,2,2,1,17,0.17647058823529413
Cape Cod Baseball League,2025,101|2|2-2,101,2,2,2,37,0.1891891891891892
Cape Cod Baseball League,2025,101|2|3-0,101,2,3,0,8,0.75
Cape Cod Baseball League,2025,101|2|3-1,101,2,3,1,9,0.4444444444444444
Cape Cod Baseball League,2025,101|2|3-2,101,2,3,2,26,0.11538461538461539
Cape Cod Baseball League,2025,110|0|0-0,110,0,0,0,394,1.6573604060913705
Cape Cod Baseball League,2025,110|0|0-1,110,0,0,1,183,1.4972677595628416
Cape Cod Baseball League,2025,110|0|0-2,110,0,0,2,83,1.3493975903614457
Cape Cod Baseball League,2025,110|0|1-0,110,0,1,0,153,1.6862745098039216
Cape Cod Baseball League,2025,110|0|1-1,110,0,1,1,140,1.5357142857142858
Cape Cod Baseball League,2025,110|0|1-2,110,0,1,2,106,1.4528301886792452
Cape Cod Baseball League,2025,110|0|2-0,110,0,2,0,54,2.0
Cape Cod Baseball League,2025,110|0|2-1,110,0,2,1,76,1.7105263157894737
Cape Cod Baseball League,2025,110|0|2-2,110,0,2,2,83,1.2771084337349397
Cape Cod Baseball League,2025,110|0|3-0,110,0,3,0,21,2.7142857142857144
Cape Cod Baseball League,2025,110|0|3-1,110,0,3,1,42,2.0
Cape Cod Baseball League,2025,110|0|3-2,110,0,3,2,56,1.7321428571428572
Cape Cod Baseball League,2025,110|1|0-0,110,1,0,0,692,1.060693641618497
Cape Cod Baseball League,2025,110|1|0-1,110,1,0,1,330,0.9
Cape Cod Baseball League,2025,110|1|0-2,110,1,0,2,161,0.7391304347826086
Cape Cod Baseball League,2025,110|1|1-0,110,1,1,0,265,1.1962264150943396
Cape Cod Baseball League,2025,110|1|1-1,110,1,1,1,247,0.9676113360323887
Cape Cod Baseball League,2025,110|1|1-2,110,1,1,2,236,0.7796610169491526
Cape Cod Baseball League,2025,110|1|2-0,110,1,2,0,99,1.292929292929293
Cape Cod Baseball League,2025,110|1|2-1,110,1,2,1,138,1.1159420289855073
Cape Cod Baseball League,2025,110|1|2-2,110,1,2,2,184,0.8804347826086957
Cape Cod Baseball League,2025,110|1|3-0,110,1,3,0,33,1.6666666666666667
Cape Cod Baseball League,2025,110|1|3-1,110,1,3,1,59,1.2542372881355932
Cape Cod Baseball League,2025,110|1|3-2,110,1,3,2,110,1.3272727272727274
Cape Cod Baseball League,2025,110|2|0-0,110,2,0,0,837,0.45878136200716846
Cape Cod Baseball League,2025,110|2|0-1,110,2,0,1,382,0.3586387434554974
Cape Cod Baseball League,2025,110|2|0-2,110,2,0,2,192,0.2916666666666667
Cape Cod Baseball League,2025,110|2|1-0,110,2,1,0,353,0.5524079320113314
Cape Cod Baseball League,2025,110|2|1-1,110,2,1,1,353,0.45609065155807366
Cape Cod Baseball League,2025,110|2|1-2,110,2,1,2,266,0.31203007518796994
Cape Cod Baseball League,2025,110|2|2-0,110,2,2,0,114,0.6666666666666666
Cape Cod Baseball League,2025,110|2|2-1,110,2,2,1,180,0.6
Cape Cod Baseball League,2025,110|2|2-2,110,2,2,2,225,0.4222222222222222
Cape Cod Baseball League,2025,110|2|3-0,110,2,3,0,37,1.027027027027027
Cape Cod Baseball League,2025,110|2|3-1,110,2,3,1,76,0.6447368421052632
Cape Cod Baseball League,2025,110|2|3-2,110,2,3,2,144,0.4513888888888889
Cape Cod Baseball League,2025,111|0|0-0,111,0,0,0,117,2.5811965811965814
Cape Cod Baseball League,2025,111|0|0-1,111,0,0,1,46,2.652173913043478
Cape Cod Baseball League,2025,111|0|0-2,111,0,0,2,28,2.892857142857143
Cape Cod Baseball League,2025,111|0|1-0,111,0,1,0,52,2.6346153846153846
Cape Cod Baseball League,2025,111|0|1-1,111,0,1,1,40,2.45
Cape Cod Baseball League,2025,111|0|1-2,111,0,1,2,40,3.75
Cape Cod Baseball League,2025,111|0|2-0,111,0,2,0,20,2.95
Cape Cod Baseball League,2025,111|0|2-1,111,0,2,1,22,2.9545454545454546
Cape Cod Baseball League,2025,111|0|2-2,111,0,2,2,36,3.1944444444444446
Cape Cod Baseball League,2025,111|0|3-0,111,0,3,0,8,2.75
Cape Cod Baseball League,2025,111|0|3-1,111,0,3,1,11,3.5454545454545454
Cape Cod Baseball League,2025,111|0|3-2,111,0,3,2,17,3.1176470588235294
Cape Cod Baseball League,2025,111|1|0-0,111,1,0,0,210,1.6047619047619048
Cape Cod Baseball League,2025,111|1|0-1,111,1,0,1,94,1.372340425531915
Cape Cod Baseball League,2025,111|1|0-2,111,1,0,2,52,1.1346153846153846
Cape Cod Baseball League,2025,111|1|1-0,111,1,1,0,85,1.9176470588235295
Cape Cod Baseball League,2025,111|1|1-1,111,1,1,1,65,1.6
Cape Cod Baseball League,2025,111|1|1-2,111,1,1,2,75,1.28
Cape Cod Baseball League,2025,111|1|2-0,111,1,2,0,32,1.78125
Cape Cod Baseball League,2025,111|1|2-1,111,1,2,1,39,1.564102564102564
Cape Cod Baseball League,2025,111|1|2-2,111,1,2,2,55,1.490909090909091
Cape Cod Baseball League,2025,111|1|3-0,111,1,3,0,8,2.375
Cape Cod Baseball League,2025,111|1|3-1,111,1,3,1,13,1.7692307692307692
Cape Cod Baseball League,2025,111|1|3-2,111,1,3,2,45,1.6666666666666667
Cape Cod Baseball League,2025,111|2|0-0,111,2,0,0,267,0.7752808988764045
Cape Cod Baseball League,2025,111|2|0-1,111,2,0,1,120,0.625
Cape Cod Baseball League,2025,111|2|0-2,111,2,0,2,73,0.4520547945205479
Cape Cod Baseball League,2025,111|2|1-0,111,2,1,0,113,0.7522123893805309
Cape Cod Baseball League,2025,111|2|1-1,111,2,1,1,88,0.6477272727272727
Cape Cod Baseball League,2025,111|2|1-2,111,2,1,2,70,0.7857142857142857
Cape Cod Baseball League,2025,111|2|2-0,111,2,2,0,45,1.2
Cape Cod Baseball League,2025,111|2|2-1,111,2,2,1,59,0.7288135593220338
Cape Cod Baseball League,2025,111|2|2-2,111,2,2,2,66,0.5151515151515151
Cape Cod Baseball League,2025,111|2|3-0,111,2,3,0,17,1.5294117647058822
Cape Cod Baseball League,2025,111|2|3-1,111,2,3,1,30,0.8666666666666667
Cape Cod Baseball League,2025,111|2|3-2,111,2,3,2,48,0.6458333333333334
D1,2022,000|0|0-0,000,0,0,0,49540,0.7114251110213968
D1,2022,000|0|0-1,000,0,0,1,23152,0.6362733241188666
D1,2022,000|0|0-2,000,0,0,2,11485,0.5434915106660863
D1,2022,000|0|1-0,000,0,1,0,19868,0.7792933360177169
D1,2022,000|0|1-1,000,0,1,1,18749,0.7025974718651662
D1,2022,000|0|1-2,000,0,1,2,16975,0.5766126656848306
D1,2022,000|0|2-0,000,0,2,0,7311,0.872247298591164
D1,2022,000|0|2-1,000,0,2,1,10477,0.7993700486780567
D1,2022,000|0|2-2,000,0,2,2,14696,0.6774632553075667
D1,2022,000|0|3-0,000,0,3,0,2515,1.0393638170974155
D1,2022,000|0|3-1,000,0,3,1,4828,0.9490472245236122
D1,2022,000|0|3-2,000,0,3,2,9244,0.8159887494591086
D1,2022,000|1|0-0,000,1,0,0,33071,0.37809561247014
D1,2022,000|1|0-1,000,1,0,1,15861,0.32671332198474246
D1,2022,000|1|0-2,000,1,0,2,8223,0.26669098869025903
D1,2022,000|1|1-0,000,1,1,0,13365,0.4243172465394688
D1,2022,000|1|1-1,000,1,1,1,12883,0.37887138088954436
D1,2022,000|1|1-2,000,1,1,2,11876,0.29942741663859884
D1,2022,000|1|2-0,000,1,2,0,4821,0.49657747355320475
D1,2022,000|1|2-1,000,1,2,1,7072,0.45107466063348417
D1,2022,000|1|2-2,000,1,2,2,9854,0.35772275218185506
D1,2022,000|1|3-0,000,1,3,0,1632,0.5962009803921569
D1,2022,000|1|3-1,000,1,3,1,3395,0.5537555228276878
D1,2022,000|1|3-2,000,1,3,2,6579,0.46785225718194257
D1,2022,000|2|0-0,000,2,0,0,24761,0.14215904042647712
D1,2022,000|2|0-1,000,2,0,1,11889,0.11733535200605602
D1,2022,000|2|0-2,000,2,0,2,6044,0.10043017868960953
D1,2022,000|2|1-0,000,2,1,0,10194,0.16362566215420835
D1,2022,000|2|1-1,000,2,1,1,9973,0.13285871854005815
D1,2022,000|2|1-2,000,2,1,2,9223,0.10094329393906538
D1,2022,000|2|2-0,000,2,2,0,3728,0.19340128755364808
D1,2022,000|2|2-1,000,2,2,1,5456,0.16330645161290322
D1,2022,000|2|2-2,000,2,2,2,7984,0.1281312625250501
D1,2022,000|2|3-0,000,2,3,0,1277,0.2631166797180893
D1,2022,000|2|3-1,000,2,3,1,2581,0.22820612165827198
D1,2022,000|2|3-2,000,2,3,2,5128,0.1797971918876755
D1,2022,001|0|0-0,001,0,0,0,336,1.6904761904761905
D1,2022,001|0|0-1,001,0,0,1,147,1.6326530612244898
D1,2022,001|0|0-2,001,0,0,2,82,1.5121951219512195
D1,2022,001|0|1-0,001,0,1,0,144,1.7986111111111112
D1,2022,001|0|1-1,001,0,1,1,124,1.532258064516129
D1,2022,001|0|1-2,001,0,1,2,111,1.2792792792792793
D1,2022,001|0|2-0,001,0,2,0,64,1.875
D1,2022,001|0|2-1,001,0,2,1,88,1.6818181818181819
D1,2022,001|0|2-2,001,0,2,2,98,1.489795918367347
D1,2022,001|0|3-0,001,0,3,0,23,2.347826086956522
D1,2022,001|0|3-1,001,0,3,1,45,2.111111111111111
D1,2022,001|0|3-2,001,0,3,2,75,1.6133333333333333
D1,2022,001|1|0-0,001,1,0,0,729,1.1508916323731138
D1,2022,001|1|0-1,001,1,0,1,342,0.935672514619883
D1,2022,001|1|0-2,001,1,0,2,185,0.8756756756756757
D1,2022,001|1|1-0,001,1,1,0,312,1.2692307692307692
D1,2022,001|1|1-1,001,1,1,1,289,1.0934256055363323
D1,2022,001|1|1-2,001,1,1,2,266,0.9022556390977443
D1,2022,001|1|2-0,001,1,2,0,139,1.2517985611510791
