Level,year,re288_state,base_state,Outs,Balls,Strikes,n_obs,run_expectancy
Area Code Games,2025,010|0|3-1,010,0,3,1,6,0.8333333333333334
Area Code Games,2025,010|0|3-2,010,0,3,2,14,1.0714285714285714
Area Code Games,2025,010|1|0-0,010,1,0,0,53,0.660377358490566
Area Code Games,2025,010|1|0-1,010,1,0,1,26,0.5769230769230769
Area Code Games,2025,010|1|0-2,010,1,0,2,8,0.625
Area Code Games,2025,010|1|1-0,010,1,1,0,24,0.625
Area Code Games,2025,010|1|1-1,010,1,1,1,22,0.5454545454545454
Area Code Games,2025,010|1|1-2,010,1,1,2,18,0.6666666666666666
Area Code Games,2025,010|1|2-0,010,1,2,0,12,0.75
Area Code Games,2025,010|1|2-1,010,1,2,1,12,0.5
Area Code Games,2025,010|1|2-2,010,1,2,2,18,0.7222222222222222
Area Code Games,2025,010|1|3-0,010,1,3,0,9,0.6666666666666666
Area Code Games,2025,010|1|3-1,010,1,3,1,16,0.4375
Area Code Games,2025,010|1|3-2,010,1,3,2,15,0.8
Area Code Games,2025,010|2|0-0,010,2,0,0,56,0.16071428571428573
Area Code Games,2025,010|2|0-1,010,2,0,1,24,0.3333333333333333
Area Code Games,2025,010|2|0-2,010,2,0,2,13,0.3076923076923077
Area Code Games,2025,010|2|1-0,010,2,1,0,34,0.20588235294117646
Area Code Games,2025,010|2|1-1,010,2,1,1,31,0.25806451612903225
Area Code Games,2025,010|2|1-2,010,2,1,2,23,0.34782608695652173
Area Code Games,2025,010|2|2-0,010,2,2,0,14,0.2857142857142857
Area Code Games,2025,010|2|2-1,010,2,2,1,23,0.13043478260869565
Area Code Games,2025,010|2|2-2,010,2,2,2,19,0.2631578947368421
Area Code Games,2025,010|2|3-0,010,2,3,0,5,0.2
Area Code Games,2025,010|2|3-1,010,2,3,1,12,0.08333333333333333
Area Code Games,2025,010|2|3-2,010,2,3,2,16,0.0625
Area Code Games,2025,011|0|0-0,011,0,0,0,2,1.5
Area Code Games,2025,011|0|0-1,011,0,0,1,1,2.0
Area Code Games,2025,011|0|1-0,011,0,1,0,1,1.0
Area Code Games,2025,011|0|1-1,011,0,1,1,2,1.5
Area Code Games,2025,011|0|1-2,011,0,1,2,2,1.5
Area Code Games,2025,011|0|2-1,011,0,2,1,1,3.0
Area Code Games,2025,011|0|2-2,011,0,2,2,1,2.0
Area Code Games,2025,011|0|3-1,011,0,3,1,1,3.0
Area Code Games,2025,011|1|0-0,011,1,0,0,8,0.75
Area Code Games,2025,011|1|0-1,011,1,0,1,3,0.6666666666666666
Area Code Games,2025,011|1|0-2,011,1,0,2,2,0.5
Area Code Games,2025,011|1|1-0,011,1,1,0,5,0.4
Area Code Games,2025,011|1|1-1,011,1,1,1,4,0.25
Area Code Games,2025,011|1|1-2,011,1,1,2,4,0.0
Area Code Games,2025,011|1|2-0,011,1,2,0,2,0.5
Area Code Games,2025,011|1|2-1,011,1,2,1,2,0.5
Area Code Games,2025,011|1|2-2,011,1,2,2,1,0.0
Area Code Games,2025,011|1|3-0,011,1,3,0,1,0.0
Area Code Games,2025,011|1|3-1,011,1,3,1,3,0.3333333333333333
Area Code Games,2025,011|2|0-0,011,2,0,0,8,0.25
Area Code Games,2025,011|2|0-1,011,2,0,1,2,0.0
Area Code Games,2025,011|2|1-0,011,2,1,0,4,0.5
Area Code Games,2025,011|2|1-1,011,2,1,1,4,0.5
Area Code Games,2025,011|2|1-2,011,2,1,2,2,1.0
Area Code Games,2025,011|2|2-0,011,2,2,0,1,0.0
Area Code Games,2025,011|2|2-1,011,2,2,1,2,0.0
Area Code Games,2025,011|2|2-2,011,2,2,2,1,0.0
Area Code Games,2025,011|2|3-0,011,2,3,0,1,0.0
Area Code Games,2025,011|2|3-1,011,2,3,1,1,0.0
Area Code Games,2025,011|2|3-2,011,2,3,2,2,0.0
Area Code Games,2025,100|0|0-0,100,0,0,0,197,0.7817258883248731
Area Code Games,2025,100|0|0-1,100,0,0,1,90,0.8
Area Code Games,2025,100|0|0-2,100,0,0,2,36,0.6666666666666666
Area Code Games,2025,100|0|1-0,100,0,1,0,80,0.8
Area Code Games,2025,100|0|1-1,100,0,1,1,71,0.8309859154929577
Area Code Games,2025,100|0|1-2,100,0,1,2,60,0.6666666666666666
Area Code Games,2025,100|0|2-0,100,0,2,0,29,0.9310344827586207
Area Code Games,2025,100|0|2-1,100,0,2,1,39,1.0256410256410255
Area Code Games,2025,100|0|2-2,100,0,2,2,53,0.7547169811320755
Area Code Games,2025,100|0|3-0,100,0,3,0,10,1.0
Area Code Games,2025,100|0|3-1,100,0,3,1,14,0.8571428571428571
Area Code Games,2025,100|0|3-2,100,0,3,2,29,0.7586206896551724
Area Code Games,2025,100|1|0-0,100,1,0,0,211,0.44549763033175355
Area Code Games,2025,100|1|0-1,100,1,0,1,82,0.4268292682926829
Area Code Games,2025,100|1|0-2,100,1,0,2,51,0.8235294117647058
Area Code Games,2025,100|1|1-0,100,1,1,0,92,0.5
Area Code Games,2025,100|1|1-1,100,1,1,1,58,0.3275862068965517
Area Code Games,2025,100|1|1-2,100,1,1,2,47,0.5106382978723404
Area Code Games,2025,100|1|2-0,100,1,2,0,40,0.5
Area Code Games,2025,100|1|2-1,100,1,2,1,43,0.3023255813953488
Area Code Games,2025,100|1|2-2,100,1,2,2,37,0.7027027027027027
Area Code Games,2025,100|1|3-0,100,1,3,0,11,0.6363636363636364
Area Code Games,2025,100|1|3-1,100,1,3,1,23,0.30434782608695654
Area Code Games,2025,100|1|3-2,100,1,3,2,26,0.5
Area Code Games,2025,100|2|0-0,100,2,0,0,216,0.1388888888888889
Area Code Games,2025,100|2|0-1,100,2,0,1,89,0.11235955056179775
Area Code Games,2025,100|2|0-2,100,2,0,2,37,0.10810810810810811
Area Code Games,2025,100|2|1-0,100,2,1,0,95,0.11578947368421053
Area Code Games,2025,100|2|1-1,100,2,1,1,86,0.13953488372093023
Area Code Games,2025,100|2|1-2,100,2,1,2,60,0.11666666666666667
Area Code Games,2025,100|2|2-0,100,2,2,0,29,0.20689655172413793
Area Code Games,2025,100|2|2-1,100,2,2,1,44,0.1590909090909091
Area Code Games,2025,100|2|2-2,100,2,2,2,50,0.14
Area Code Games,2025,100|2|3-0,100,2,3,0,8,0.25
Area Code Games,2025,100|2|3-1,100,2,3,1,20,0.3
Area Code Games,2025,100|2|3-2,100,2,3,2,42,0.19047619047619047
Area Code Games,2025,101|0|0-0,101,0,0,0,3,1.3333333333333333
Area Code Games,2025,101|0|0-1,101,0,0,1,5,1.2
Area Code Games,2025,101|0|0-2,101,0,0,2,5,1.0
Area Code Games,2025,101|0|1-0,101,0,1,0,1,2.0
Area Code Games,2025,101|0|1-1,101,0,1,1,3,2.0
Area Code Games,2025,101|0|1-2,101,0,1,2,4,1.0
Area Code Games,2025,101|0|2-0,101,0,2,0,2,1.0
Area Code Games,2025,101|0|2-1,101,0,2,1,2,1.5
Area Code Games,2025,101|0|2-2,101,0,2,2,3,1.6666666666666667
Area Code Games,2025,101|0|3-0,101,0,3,0,1,1.0
Area Code Games,2025,101|0|3-1,101,0,3,1,1,1.0
Area Code Games,2025,101|0|3-2,101,0,3,2,1,1.0
Area Code Games,2025,101|1|0-0,101,1,0,0,15,0.6
Area Code Games,2025,101|1|0-1,101,1,0,1,9,0.8888888888888888
Area Code Games,2025,101|1|0-2,101,1,0,2,7,0.8571428571428571
Area Code Games,2025,101|1|1-0,101,1,1,0,4,0.5
Area Code Games,2025,101|1|1-1,101,1,1,1,2,0.0
Area Code Games,2025,101|1|1-2,101,1,1,2,8,0.625
Area Code Games,2025,101|1|2-0,101,1,2,0,3,2.0
Area Code Games,2025,101|1|2-1,101,1,2,1,1,2.0
Area Code Games,2025,101|1|2-2,101,1,2,2,5,0.4
Area Code Games,2025,101|1|3-0,101,1,3,0,2,1.5
Area Code Games,2025,101|1|3-1,101,1,3,1,2,1.5
Area Code Games,2025,101|1|3-2,101,1,3,2,4,0.5
Area Code Games,2025,101|2|0-0,101,2,0,0,21,0.3333333333333333
Area Code Games,2025,101|2|0-1,101,2,0,1,10,0.2
Area Code Games,2025,101|2|0-2,101,2,0,2,4,0.0
Area Code Games,2025,101|2|1-0,101,2,1,0,10,0.4
Area Code Games,2025,101|2|1-1,101,2,1,1,10,0.3
Area Code Games,2025,101|2|1-2,101,2,1,2,8,0.25
Area Code Games,2025,101|2|2-0,101,2,2,0,5,0.6
Area Code Games,2025,101|2|2-1,101,2,2,1,7,0.2857142857142857
Area Code Games,2025,101|2|2-2,101,2,2,2,8,0.125
Area Code Games,2025,101|2|3-0,101,2,3,0,1,0.0
Area Code Games,2025,101|2|3-1,101,2,3,1,3,0.0
Area Code Games,2025,101|2|3-2,101,2,3,2,6,0.0
Area Code Games,2025,110|0|0-0,110,0,0,0,65,1.2615384615384615
Area Code Games,2025,110|0|0-1,110,0,0,1,24,1.0416666666666667
Area Code Games,2025,110|0|0-2,110,0,0,2,9,0.4444444444444444
Area Code Games,2025,110|0|1-0,110,0,1,0,31,1.2580645161290323
Area Code Games,2025,110|0|1-1,110,0,1,1,27,1.2592592592592593
Area Code Games,2025,110|0|1-2,110,0,1,2,15,0.6
Area Code Games,2025,110|0|2-0,110,0,2,0,8,0.625
Area Code Games,2025,110|0|2-1,110,0,2,1,9,1.4444444444444444
Area Code Games,2025,110|0|2-2,110,0,2,2,8,1.25
Area Code Games,2025,110|0|3-0,110,0,3,0,3,0.3333333333333333
Area Code Games,2025,110|0|3-1,110,0,3,1,8,0.625
Area Code Games,2025,110|0|3-2,110,0,3,2,8,1.25
Area Code Games,2025,110|1|0-0,110,1,0,0,118,0.8305084745762712
Area Code Games,2025,110|1|0-1,110,1,0,1,54,0.5740740740740741
Area Code Games,2025,110|1|0-2,110,1,0,2,36,0.3611111111111111
Area Code Games,2025,110|1|1-0,110,1,1,0,50,1.06
Area Code Games,2025,110|1|1-1,110,1,1,1,47,0.723404255319149
Area Code Games,2025,110|1|1-2,110,1,1,2,51,0.6470588235294118
Area Code Games,2025,110|1|2-0,110,1,2,0,14,1.4285714285714286
Area Code Games,2025,110|1|2-1,110,1,2,1,21,0.7619047619047619
Area Code Games,2025,110|1|2-2,110,1,2,2,46,0.8043478260869565
Area Code Games,2025,110|1|3-0,110,1,3,0,2,3.5
Area Code Games,2025,110|1|3-1,110,1,3,1,6,0.6666666666666666
Area Code Games,2025,110|1|3-2,110,1,3,2,23,0.5217391304347826
Area Code Games,2025,110|2|0-0,110,2,0,0,120,0.3
Area Code Games,2025,110|2|0-1,110,2,0,1,57,0.15789473684210525
Area Code Games,2025,110|2|0-2,110,2,0,2,23,0.043478260869565216
Area Code Games,2025,110|2|1-0,110,2,1,0,52,0.40384615384615385
Area Code Games,2025,110|2|1-1,110,2,1,1,44,0.3409090909090909
Area Code Games,2025,110|2|1-2,110,2,1,2,36,0.25
Area Code Games,2025,110|2|2-0,110,2,2,0,23,0.2608695652173913
Area Code Games,2025,110|2|2-1,110,2,2,1,24,0.3333333333333333
Area Code Games,2025,110|2|2-2,110,2,2,2,31,0.3225806451612903
Area Code Games,2025,110|2|3-0,110,2,3,0,8,0.25
Area Code Games,2025,110|2|3-1,110,2,3,1,10,0.2
Area Code Games,2025,110|2|3-2,110,2,3,2,10,0.4
Area Code Games,2025,111|0|0-0,111,0,0,0,11,1.2727272727272727
Area Code Games,2025,111|0|0-1,111,0,0,1,8,1.25
Area Code Games,2025,111|0|0-2,111,0,0,2,2,2.0
Area Code Games,2025,111|0|1-0,111,0,1,0,3,1.3333333333333333
Area Code Games,2025,111|0|1-1,111,0,1,1,4,0.75
Area Code Games,2025,111|0|1-2,111,0,1,2,2,1.0
Area Code Games,2025,111|0|2-0,111,0,2,0,2,1.5
Area Code Games,2025,111|0|2-1,111,0,2,1,4,1.0
Area Code Games,2025,111|0|2-2,111,0,2,2,3,2.0
Area Code Games,2025,111|0|3-1,111,0,3,1,1,1.0
Area Code Games,2025,111|0|3-2,111,0,3,2,3,1.3333333333333333
Area Code Games,2025,111|1|0-0,111,1,0,0,27,1.0740740740740742
Area Code Games,2025,111|1|0-1,111,1,0,1,11,1.2727272727272727
Area Code Games,2025,111|1|0-2,111,1,0,2,7,0.5714285714285714
Area Code Games,2025,111|1|1-0,111,1,1,0,7,0.5714285714285714
Area Code Games,2025,111|1|1-1,111,1,1,1,10,1.4
Area Code Games,2025,111|1|1-2,111,1,1,2,12,0.25
Area Code Games,2025,111|1|2-0,111,1,2,0,2,0.0
Area Code Games,2025,111|1|2-1,111,1,2,1,4,2.5
Area Code Games,2025,111|1|2-2,111,1,2,2,3,0.6666666666666666
Area Code Games,2025,111|1|3-1,111,1,3,1,2,1.5
Area Code Games,2025,111|1|3-2,111,1,3,2,1,3.0
Area Code Games,2025,111|2|0-0,111,2,0,0,46,0.2391304347826087
Area Code Games,2025,111|2|0-1,111,2,0,1,24,0.20833333333333334
Area Code Games,2025,111|2|0-2,111,2,0,2,12,0.16666666666666666
Area Code Games,2025,111|2|1-0,111,2,1,0,18,0.3333333333333333
Area Code Games,2025,111|2|1-1,111,2,1,1,16,0.25
Area Code Games,2025,111|2|1-2,111,2,1,2,13,0.3076923076923077
Area Code Games,2025,111|2|2-0,111,2,2,0,8,0.5
Area Code Games,2025,111|2|2-1,111,2,2,1,9,0.1111111111111111
Area Code Games,2025,111|2|2-2,111,2,2,2,13,0.07692307692307693
Area Code Games,2025,111|2|3-0,111,2,3,0,3,0.6666666666666666
Area Code Games,2025,111|2|3-1,111,2,3,1,4,0.5
Area Code Games,2025,111|2|3-2,111,2,3,2,8,0.125
CPL,2025,000|0|0-0,000,0,0,0,6281,0.707371437669161
CPL,2025,000|0|0-1,000,0,0,1,2743,0.6598614655486693
CPL,2025,000|0|0-2,000,0,0,2,1437,0.5511482254697286
CPL,2025,000|0|1-0,000,0,1,0,2730,0.7468864468864469
CPL,2025,000|0|1-1,000,0,1,1,2351,0.6678009357720119
CPL,2025,000|0|1-2,000,0,1,2,2070,0.6024154589371981
CPL,2025,000|0|2-0,000,0,2,0,1067,0.9025304592314901
CPL,2025,000|0|2-1,000,0,2,1,1426,0.7643758765778401
CPL,2025,000|0|2-2,000,0,2,2,1760,0.6522727272727272
CPL,2025,000|0|3-0,000,0,3,0,390,1.1692307692307693
CPL,2025,000|0|3-1,000,0,3,1,722,0.9238227146814404
CPL,2025,000|0|3-2,000,0,3,2,1319,0.759666413949962
CPL,2025,000|1|0-0,000,1,0,0,3958,0.34840828701364324
CPL,2025,000|1|0-1,000,1,0,1,1783,0.3022994952327538
CPL,2025,000|1|0-2,000,1,0,2,914,0.23085339168490154
CPL,2025,000|1|1-0,000,1,1,0,1730,0.4005780346820809
CPL,2025,000|1|1-1,000,1,1,1,1552,0.35695876288659795
CPL,2025,000|1|1-2,000,1,1,2,1361,0.2689199118295371
CPL,2025,000|1|2-0,000,1,2,0,640,0.475
CPL,2025,000|1|2-1,000,1,2,1,908,0.42290748898678415
CPL,2025,000|1|2-2,000,1,2,2,1246,0.2752808988764045
CPL,2025,000|1|3-0,000,1,3,0,241,0.6639004149377593
CPL,2025,000|1|3-1,000,1,3,1,465,0.6537634408602151
CPL,2025,000|1|3-2,000,1,3,2,845,0.4603550295857988
CPL,2025,000|2|0-0,000,2,0,0,2832,0.1274717514124294
CPL,2025,000|2|0-1,000,2,0,1,1295,0.10501930501930502
CPL,2025,000|2|0-2,000,2,0,2,702,0.0641025641025641
CPL,2025,000|2|1-0,000,2,1,0,1238,0.13893376413570274
CPL,2025,000|2|1-1,000,2,1,1,1083,0.12280701754385964
CPL,2025,000|2|1-2,000,2,1,2,955,0.10052356020942409
CPL,2025,000|2|2-0,000,2,2,0,511,0.17221135029354206
CPL,2025,000|2|2-1,000,2,2,1,705,0.14326241134751774
CPL,2025,000|2|2-2,000,2,2,2,913,0.09200438116100766
CPL,2025,000|2|3-0,000,2,3,0,175,0.26857142857142857
CPL,2025,000|2|3-1,000,2,3,1,370,0.21351351351351353
CPL,2025,000|2|3-2,000,2,3,2,637,0.13500784929356358
CPL,2025,001|0|0-0,001,0,0,0,29,1.5172413793103448
CPL,2025,001|0|0-1,001,0,0,1,14,1.5
CPL,2025,001|0|0-2,001,0,0,2,5,1.0
CPL,2025,001|0|1-0,001,0,1,0,13,1.6923076923076923
CPL,2025,001|0|1-1,001,0,1,1,15,2.2
CPL,2025,001|0|1-2,001,0,1,2,9,1.3333333333333333
CPL,2025,001|0|2-0,001,0,2,0,6,1.6666666666666667
CPL,2025,001|0|2-1,001,0,2,1,9,2.6666666666666665
CPL,2025,001|0|2-2,001,0,2,2,12,1.8333333333333333
CPL,2025,001|0|3-0,001,0,3,0,5,1.8
CPL,2025,001|0|3-1,001,0,3,1,5,2.2
CPL,2025,001|0|3-2,001,0,3,2,11,2.0
CPL,2025,001|1|0-0,001,1,0,0,58,0.9655172413793104
CPL,2025,001|1|0-1,001,1,0,1,29,0.896551724137931
CPL,2025,001|1|0-2,001,1,0,2,9,0.6666666666666666
CPL,2025,001|1|1-0,001,1,1,0,30,1.0666666666666667
CPL,2025,001|1|1-1,001,1,1,1,28,1.0
CPL,2025,001|1|1-2,001,1,1,2,22,0.4090909090909091
CPL,2025,001|1|2-0,001,1,2,0,14,1.4285714285714286
CPL,2025,001|1|2-1,001,1,2,1,18,1.5
CPL,2025,001|1|2-2,001,1,2,2,29,0.896551724137931
CPL,2025,001|1|3-0,001,1,3,0,5,1.6
CPL,2025,001|1|3-1,001,1,3,1,13,1.5384615384615385
CPL,2025,001|1|3-2,001,1,3,2,17,1.411764705882353
CPL,2025,001|2|0-0,001,2,0,0,82,0.34146341463414637
CPL,2025,001|2|0-1,001,2,0,1,46,0.32608695652173914
CPL,2025,001|2|0-2,001,2,0,2,25,0.08
CPL,2025,001|2|1-0,001,2,1,0,34,0.35294117647058826
CPL,2025,001|2|1-1,001,2,1,1,41,0.4878048780487805
CPL,2025,001|2|1-2,001,2,1,2,40,0.25
CPL,2025,001|2|2-0,001,2,2,0,18,0.3333333333333333
CPL,2025,001|2|2-1,001,2,2,1,20,0.25
CPL,2025,001|2|2-2,001,2,2,2,37,0.2702702702702703
CPL,2025,001|2|3-0,001,2,3,0,7,0.2857142857142857
CPL,2025,001|2|3-1,001,2,3,1,9,0.1111111111111111
CPL,2025,001|2|3-2,001,2,3,2,23,0.30434782608695654
CPL,2025,010|0|0-0,010,0,0,0,275,1.4290909090909092
CPL,2025,010|0|0-1,010,0,0,1,132,1.3106060606060606
CPL,2025,010|0|0-2,010,0,0,2,81,1.0740740740740742
CPL,2025,010|0|1-0,010,0,1,0,156,1.5
CPL,2025,010|0|1-1,010,0,1,1,155,1.2580645161290323
CPL,2025,010|0|1-2,010,0,1,2,173,1.1213872832369942
CPL,2025,010|0|2-0,010,0,2,0,90,1.4666666666666666
CPL,2025,010|0|2-1,010,0,2,1,108,1.3518518518518519
CPL,2025,010|0|2-2,010,0,2,2,141,1.2836879432624113
CPL,2025,010|0|3-0,010,0,3,0,49,1.346938775510204
CPL,2025,010|0|3-1,010,0,3,1,80,1.2875
CPL,2025,010|0|3-2,010,0,3,2,107,1.1775700934579438
CPL,2025,010|1|0-0,010,1,0,0,602,0.7973421926910299
CPL,2025,010|1|0-1,010,1,0,1,285,0.8105263157894737
CPL,2025,010|1|0-2,010,1,0,2,180,0.5666666666666667
CPL,2025,010|1|1-0,010,1,1,0,319,0.8369905956112853
CPL,2025,010|1|1-1,010,1,1,1,298,0.7751677852348994
CPL,2025,010|1|1-2,010,1,1,2,278,0.6438848920863309
CPL,2025,010|1|2-0,010,1,2,0,138,0.7753623188405797
CPL,2025,010|1|2-1,010,1,2,1,194,0.7628865979381443
CPL,2025,010|1|2-2,010,1,2,2,279,0.7132616487455197
CPL,2025,010|1|3-0,010,1,3,0,69,0.9565217391304348
CPL,2025,010|1|3-1,010,1,3,1,112,0.875
CPL,2025,010|1|3-2,010,1,3,2,219,0.7625570776255708
CPL,2025,010|2|0-0,010,2,0,0,809,0.3510506798516687
CPL,2025,010|2|0-1,010,2,0,1,351,0.2706552706552707
CPL,2025,010|2|0-2,010,2,0,2,220,0.16363636363636364
CPL,2025,010|2|1-0,010,2,1,0,418,0.4019138755980861
CPL,2025,010|2|1-1,010,2,1,1,359,0.3398328690807799
CPL,2025,010|2|1-2,010,2,1,2,324,0.1882716049382716
CPL,2025,010|2|2-0,010,2,2,0,171,0.43859649122807015
CPL,2025,010|2|2-1,010,2,2,1,248,0.4475806451612903
CPL,2025,010|2|2-2,010,2,2,2,294,0.2108843537414966
CPL,2025,010|2|3-0,010,2,3,0,72,0.5416666666666666
CPL,2025,010|2|3-1,010,2,3,1,145,0.4482758620689655
CPL,2025,010|2|3-2,010,2,3,2,271,0.3173431734317343
CPL,2025,011|0|0-0,011,0,0,0,76,1.9078947368421053
CPL,2025,011|0|0-1,011,0,0,1,36,1.7222222222222223
CPL,2025,011|0|0-2,011,0,0,2,19,1.5263157894736843
CPL,2025,011|0|1-0,011,0,1,0,24,1.9166666666666667
CPL,2025,011|0|1-1,011,0,1,1,25,1.36
CPL,2025,011|0|1-2,011,0,1,2,22,1.0909090909090908
CPL,2025,011|0|2-0,011,0,2,0,10,2.8
CPL,2025,011|0|2-1,011,0,2,1,14,2.0
CPL,2025,011|0|2-2,011,0,2,2,11,1.1818181818181819
CPL,2025,011|0|3-0,011,0,3,0,4,3.5
CPL,2025,011|0|3-1,011,0,3,1,9,2.2222222222222223
CPL,2025,011|0|3-2,011,0,3,2,17,1.5294117647058822
CPL,2025,011|1|0-0,011,1,0,0,184,1.4293478260869565
CPL,2025,011|1|0-1,011,1,0,1,81,1.0123456790123457
